,LocationID,Borough,Zone,service_zone
207,208,Bronx,Schuylerville/Edgewater Park,Boro Zone
208,209,Manhattan,Seaport,Yellow Zone
209,210,Brooklyn,Sheepshead Bay,Boro Zone
210,211,Manhattan,SoHo,Yellow Zone
211,212,Bronx,Soundview/Bruckner,Boro Zone
212,213,Bronx,Soundview/Castle Hill,Boro Zone
213,214,Staten Island,South Beach/Dongan Hills,Boro Zone
214,215,Queens,South Jamaica,Boro Zone
215,216,Queens,South Ozone Park,Boro Zone
216,217,Brooklyn,South Williamsburg,Boro Zone
217,218,Queens,Springfield Gardens North,Boro Zone
218,219,Queens,Springfield Gardens South,Boro Zone
219,220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone
220,221,Staten Island,Stapleton,Boro Zone
221,222,Brooklyn,Starrett City,Boro Zone
222,223,Queens,Steinway,Boro Zone
223,224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone
224,225,Brooklyn,Stuyvesant Heights,Boro Zone
225,226,Queens,Sunnyside,Boro Zone
226,227,Brooklyn,Sunset Park East,Boro Zone
227,228,Brooklyn,Sunset Park West,Boro Zone
228,229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone
229,230,Manhattan,Times Sq/Theatre District,Yellow Zone
230,231,Manhattan,TriBeCa/Civic Center,Yellow Zone
231,232,Manhattan,Two Bridges/Seward Park,Yellow Zone
232,233,Manhattan,UN/Turtle Bay South,Yellow Zone
233,234,Manhattan,Union Sq,Yellow Zone
234,235,Bronx,University Heights/Morris Heights,Boro Zone
235,236,Manhattan,Upper East Side North,Yellow Zone
236,237,Manhattan,Upper East Side South,Yellow Zone
237,238,Manhattan,Upper West Side North,Yellow Zone
238,239,Manhattan,Upper West Side South,Yellow Zone
239,240,Bronx,Van Cortlandt Park,Boro Zone
240,241,Bronx,Van Cortlandt Village,Boro Zone
241,242,Bronx,Van Nest/Morris Park,Boro Zone
242,243,Manhattan,Washington Heights North,Boro Zone
243,244,Manhattan,Washington Heights South,Boro Zone
244,245,Staten Island,West Brighton,Boro Zone
245,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
246,247,Bronx,West Concourse,Boro Zone
247,248,Bronx,West Farms/Bronx River,Boro Zone
248,249,Manhattan,West Village,Yellow Zone
249,250,Bronx,Westchester Village/Unionport,Boro Zone
250,251,Staten Island,Westerleigh,Boro Zone
251,252,Queens,Whitestone,Boro Zone
252,253,Queens,Willets Point,Boro Zone
253,254,Bronx,Williamsbridge/Olinville,Boro Zone
254,255,Brooklyn,Williamsburg (North Side),Boro Zone
255,256,Brooklyn,Williamsburg (South Side),Boro Zone
256,257,Brooklyn,Windsor Terrace,Boro Zone
257,258,Queens,Woodhaven,Boro Zone
258,259,Bronx,Woodlawn/Wakefield,Boro Zone
259,260,Queens,Woodside,Boro Zone
260,261,Manhattan,World Trade Center,Yellow Zone
261,262,Manhattan,Yorkville East,Yellow Zone
262,263,Manhattan,Yorkville West,Yellow Zone
